CODE,NAME,POPULATION
11,서울특별시,9409466
11110,종로구,140032
11140,중구,121482
11170,용산구,216547
11200,성동구,278750
11215,광진구,336446
11230,동대문구,340333
11260,중랑구,383072
11290,성북구,428122
11305,강북구,290583
11320,도봉구,307968
11350,노원구,499908
11380,은평구,465977
11410,서대문구,307672
11440,마포구,364573
11470,양천구,437665
11500,강서구,565195
11530,구로구,394363
11545,금천구,228858
11560,영등포구,375526
11590,동작구,380478
11620,관악구,485994
11650,서초구,404616
11680,강남구,540730
11710,송파구,656176
11740,강동구,458400
26,부산광역시,3302740
26110,중구,39060
26140,서구,104304
26170,동구,88027
26200,영도구,107103
26230,부산진구,357196
26260,동래구,272176
26290,남구,255095
26320,북구,275670
26350,해운대구,382448
26380,사하구,299844
26410,금정구,217839
26440,강서구,142890
26470,연제구,202918
26500,수영구,175455
26530,사상구,203534
26710,기장군,179181
27,대구광역시,2378464
27110,중구,86210
27140,동구,341800
27170,서구,159255
27200,남구,140497
27230,북구,424831
27260,수성구,407190
27290,달서구,532496
27710,달성군,263055
27720,군위군,23130
28,인천광역시,2985152
28110,중구,157127
28114,중구영종출장소,0
28118,중구용유출장소,0
28140,동구,59922
28177,미추홀구,405633
28185,연수구,389310
28200,남동구,497181
28237,부평구,488696
28245,계양구,283422
28260,서구,614123
28265,서구검단출장소,0
28710,강화군,69265
28720,옹진군,20473
29,광주광역시,1423810
29110,동구,106704
29140,서구,285843
29155,남구,210423
29170,북구,422881
29200,광산구,397959
30,대전광역시,1444837
30110,동구,218694
30140,중구,224439
30170,서구,467364
30200,유성구,363731
30230,대덕구,170609
31,울산광역시,1104448
31110,중구,205464
31140,남구,309139
31170,동구,152315
31200,북구,217533
31710,울주군,219997
36,세종특별자치시,385953
36110,세종시,385953
41,경기도,13624964
41110,수원시,1195111
41111,장안구,268547
41113,권선구,368270
41115,팔달구,195442
41117,영통구,362852
41130,성남시,918077
41131,수정구,230552
41133,중원구,213015
41135,분당구,474510
41150,의정부시,464778
41170,안양시,545092
41171,만안구,232609
41173,동안구,312483
41190,부천시,785432
41210,광명시,280414
41220,평택시,587611
41222,송탄출장소,0
41224,안중출장소,0
41250,동두천시,89174
41270,안산시,634284
41271,상록구,338379
41273,단원구,295905
41280,고양시,1076655
41281,덕양구,496607
41285,일산동구,292300
41287,일산서구,287748
41290,과천시,81306
41310,구리시,187984
41360,남양주시,733002
41362,풍양출장소,0
41370,오산시,229569
41390,시흥시,518182
41410,군포시,263496
41430,의왕시,157499
41450,하남시,329162
41460,용인시,1077890
41461,처인구,263923
41463,기흥구,435967
41465,수지구,378000
41480,파주시,496878
41500,이천시,223677
41550,안성시,189472
41570,김포시,486029
41590,화성시,934287
41592,화성시동부출장소,0
41594,화성시동탄출장소,0
41610,광주시,391986
41630,양주시,262328
