YEAR,CITY_NAME,CITY,NAME,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
2022,서울특별시 종로구,서울특별시,종로구,163322953,154459935,134597421,123998502,122507867,137709225,166310833,175846293,148813409,123453812,121687271,148532525
2022,서울특별시 중구,서울특별시,중구,213129833,198087817,176903377,162626263,168159612,188922717,228535962,237629451,201147307,166894770,162823855,200338633
2022,서울특별시 용산구,서울특별시,용산구,137560380,132110989,114570962,107874423,107725453,119537976,146398102,160821270,136286659,113598637,109860621,128644854
2022,서울특별시 성동구,서울특별시,성동구,206805972,197703858,176603681,168066382,159556376,174827870,206122492,225764973,197419781,168767617,165644186,187766380
2022,서울특별시 동대문구,서울특별시,동대문구,137692775,134281938,116272608,108725374,100707951,109798543,134400341,151913031,130222573,107300299,104867374,121505998
2022,서울특별시 성북구,서울특별시,성북구,141141013,137790884,118829315,112917239,104680597,113608602,135192117,154389430,132859429,109865421,109242226,126958655
2022,서울특별시 도봉구,서울특별시,도봉구,84596000,82754336,71287803,68298465,62267482,67321170,82371696,92919329,76994414,64845541,65867875,75116656
2022,서울특별시 은평구,서울특별시,은평구,139118927,136721323,118459920,114418615,105759992,113428481,138896693,158365835,133849913,112335900,110833791,123202131
2022,서울특별시 서대문구,서울특별시,서대문구,119765616,114120540,101409548,94302306,91347242,101084643,124460224,135125245,112916339,95827102,94401123,112775042
2022,서울특별시 마포구,서울특별시,마포구,207160969,194503077,174041673,165047742,164217556,180823796,217194316,234999987,201477890,172202628,165363422,188919515
2022,서울특별시 강서구,서울특별시,강서구,248309652,236577281,214025395,204421947,203223995,211604090,260158221,285407539,244163339,209807829,206229455,228798145
2022,서울특별시 구로구,서울특별시,구로구,184463435,176054719,150648270,142216349,136032323,149130843,180115052,196862087,165670603,138912221,139509258,167550060
2022,서울특별시 영등포구,서울특별시,영등포구,250940741,237106752,215641969,201740077,205273302,223560783,274076032,292531050,245700490,205366509,198290776,231872108
2022,서울특별시 동작구,서울특별시,동작구,119722385,115849583,100920586,96895221,91021400,100548940,122422683,137393945,115107016,96153724,94492917,107859610
2022,서울특별시 관악구,서울특별시,관악구,160868220,158045613,136029419,131438774,120449995,132033129,161003442,182463635,155203556,130101652,126939423,141347048
2022,서울특별시 강남구,서울특별시,강남구,464386508,440536007,381189750,343132118,336044552,375384638,462297969,496704099,413746341,348592538,342335337,417815670
2022,서울특별시 강동구,서울특별시,강동구,154450984,148305730,130398112,122949129,116647790,127737403,157154426,173742892,145470880,121860367,121142265,139142933
2022,서울특별시 송파구,서울특별시,송파구,263530600,252587365,232339472,222923415,235730276,250013863,304106637,333692319,280111157,233425913,224386322,251485065
