연도,송전단_전력량A,배전손실_판매량C,종합손실_손실량_A_C,종합손실률
1961,1683584.0,1189386.0,494198.0,29.35
1962,1890865.0,1470100.0,420764.0,22.35
1963,2133558.0,1695620.0,437938.0,20.53
1964,2551965.0,2043413.0,508522.0,19.93
1965,3049563.0,2463687.0,585875.0,19.21
1966,3672543.0,3008472.0,664060.0,18.08
1967,4671385.0,3902907.0,768478.0,16.45
1968,5743657.0,4850423.0,893233.0,15.55
1969,7348356.0,6357800.0,990557.0,13.48
1970,8779743.0,7739941.0,1039801.0,11.84
1971,10028273.0,8883592.0,1144681.0,11.42
1972,11207639.0,9992345.0,1215293.0,10.84
1973,13955724.0,12366865.0,1588859.0,11.38
1974,15911799.0,14048051.0,1863748.0,11.71
1975,18751727.0,16630354.0,2121374.0,11.31
1976,21918877.0,19620296.0,2298601.0,10.49
1977,25171533.0,22833097.0,2338436.0,9.29
1978,29843603.0,27326327.0,2517277.0,8.43
1979,33668645.0,31144712.0,2523933.0,7.5
1980,35082857.0,32734418.0,2348439.0,6.69
1981,37950201.0,35424455.0,2525746.0,6.66
1982,40554656.0,37879626.0,2675030.0,6.6
1983,45494797.0,42620384.0,2874412.0,6.32
1984,50237757.0,47051137.0,3186620.0,6.34
1985,53908278.0,50732095.0,3176183.0,5.89
1986,59818134.0,56309525.0,3508609.0,5.87
1987,68274720.0,64169084.0,4105636.0,6.01
1988,78855492.0,74317726.0,4537766.0,5.75
1989,87512175.0,82191862.0,5320313.0,6.08
1990,100002741.0,94383292.0,5619450.0,5.62
1991,110571199.0,104374022.0,6197177.0,5.6
1992,122308820.0,115243978.0,7064842.0,5.78
1993,135272537.0,127733923.0,7538614.0,5.57
1994,155218428.0,146540499.0,8677929.0,5.59
1995,172693293.0,163270294.0,9422999.0,5.46
1996,192882960.0,182470373.0,10412587.0,5.4
1997,211028738.0,200783627.0,10245111.0,4.85
1998,203430303.0,193470338.0,9959965.0,4.9
1999,225802022.0,214521910.0,11280111.0,5.0
2000,251953275.2,240082085.1,11871190.1,4.712
2001,269842045.989,257701607.1,12140438.889,4.499
2002,290058444.0,277063960.0,12994484.0,4.48
2003,305644685.0,292105447.962,13539237.038,4.43
2004,324885244.304,310394798.03,14490446.274,4.46
2005,346207397.941,330592629.599,15614768.342,4.51
2006,363053967.756,348466740.642,14587227.114,4.018
2007,384693239.719,369348078.368,15345161.351,3.989
2008,401726292.934,385619916.965,16106375.968,4.009
2009,411631123.086,394861383.222,16769739.864,4.074
2010,451432992.118,433398755.859,18034236.259,3.995
2011,472650335.63,455219953.019,17430382.611,3.688
2012,484334191.4004,467042687.327,17291504.0734,3.57015969147326
2013,491002788.0,472691677.0,18311111.0,3.72933
2014,494716612.59,476446200.871,18270411.719,3.69311
2015,499239420.894,481260212.0,17979209.894,3.60132
2016,514118988.0,495644146.0,18474842.0,3.59
2017,525710752.0,506920655.0,18790097.0,3.57
2018,543231595.7,523872240.8,19359354.97,3.563738767
2019,536197809.487,517197334.716,19000474.771,3.544
2020,525850762.0,507240791.0,18609971.0,3.54
2021,549623783.305,530199565.459,19424217.846,3.534
