송변전손실_배전량B,배전손실_판매량C,손실량_B_C,손실률
1495254.0,1189386.0,305868.0,18.17
1705277.0,1470100.0,235177.0,12.44
1901285.0,1695620.0,205665.0,9.64
2277420.0,2043413.0,234007.0,9.17
2702991.0,2463687.0,239303.0,7.85
3280203.0,3008472.0,271720.0,7.4
4171591.0,3902907.0,268684.0,5.75
5163366.0,4850423.0,312943.0,5.45
6746892.0,6357800.0,389093.0,5.29
8173241.0,7739941.0,433300.0,4.93
9443795.0,8883592.0,560202.0,5.59
10585345.0,9992345.0,592999.0,5.29
13112567.0,12366865.0,745703.0,5.34
14979995.0,14048051.0,931944.0,5.86
17608161.0,16630354.0,977807.0,5.21
20693990.0,19620296.0,1073494.0,4.9
23866930.0,22833097.0,1033833.0,4.11
28403229.0,27326327.0,1076903.0,3.61
32175201.0,31144712.0,1030489.0,3.06
33705573.0,32734418.0,971155.0,2.77
36453163.0,35424455.0,1028709.0,2.71
38936063.0,37879626.0,1056437.0,2.61
43840673.0,42620384.0,1220288.0,2.68
48360775.0,47051137.0,1309638.0,2.61
52134071.0,50732095.0,1401975.0,2.6
57846423.0,56309525.0,1536899.0,2.57
65820530.0,64169084.0,1651446.0,2.42
76166959.0,74317726.0,1849233.0,2.34
84519879.0,82191862.0,2328018.0,2.66
96761186.0,94383292.0,2377894.0,2.38
107078182.0,104374022.0,2704160.0,2.45
118204055.0,115243978.0,2960077.0,2.42
130952464.0,127733923.0,3218541.0,2.38
150306190.0,146540499.0,3765691.0,2.43
166906729.0,163270294.0,3636435.0,2.11
186585026.0,182470373.0,4114653.0,2.13
204637553.0,200783627.0,3853926.0,1.83
196888056.0,193470338.0,3417718.0,1.68
218519533.0,214521910.0,3997622.0,1.83
244460311.62,240082085.1,4378226.52,1.791
262296171.636,257701607.1,4594564.536,1.752
282149982.0,277063960.0,5086021.0,1.803
297326501.0,292105447.962,5221053.038,1.756
316019419.494,310394798.03,5624621.464,1.78
336548985.915,330592629.599,5956356.316,1.77
356260248.924,348466740.642,7793508.282,2.188
378009888.744,369348078.368,8661810.376,2.291
394246885.467,385619916.965,8626968.502,2.188
404757942.561,394861383.222,9896559.339,2.445
444144048.612,433398755.859,10745292.753,2.419
465440439.82,455219953.019,10220486.801,2.196
476693295.188,467042687.327,9650607.86100012,2.02448995159332
483172107.0,472691677.0,10480430.0,2.16909
486874854.084,476446200.871,10428653.213,2.14196
491285577.0,481260212.0,10025366.0,2.04064
505937374.0,495644146.0,10293228.0,2.03
517358021.0,506920655.0,10437366.0,2.02
534612230.2,523872240.8,10739989.4,2.008930734
527752245.289,517197334.716,10554910.573,2.0
517571775.0,507240791.0,10330984.0,2.0
540972704.668,530199565.459,10773139.209,1.991
