구분,주거용,업무용,,,산업용,,,,,,,,,,,,,,,,,,,,,,합계
,,공공용,서비스업,업무용 계,농림어업,광업,제조업,,,,,,,,,,,,,,,,,,,산업용 계,
,,,,,,,식료품제조,"섬유,의류","목재,나무","펄프,종이","출판,인쇄","석유,화확","의료,광학",요업,1차금속,조립금속,기타기계,사무기기,전기기기,"영상,음향",자동차,기타운송,가구및기타,재생재료,제조업 계,,
강원,2081091.477,1435425.905,6295912.734,7731338.639,693533.391,408544.562,581064.662,12215.54,19164.813,27252.841,4657.336,176932.867,115932.184,3120008.53,1011189.868,33789.275,33290.534,1289.782,35330.031,43875.585,119820.397,101150.704,13386.769,3414.791,5453766.509,6555844.462,16368274.578
개성,105.943,2403.605,1275.986,3679.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785.534
경기,18228494.887,5768005.726,35660410.189,41428415.915,2605404.939,274638.992,2780040.265,1921821.829,476955.812,1966989.863,725761.805,7237993.805,1440321.326,1702227.691,1892472.142,2199624.485,3610494.367,232628.357,987826.697,27980826.088,2872637.513,94631.245,2227992.538,134106.651,60485352.479,63365396.41,123022307.212
경남,4475991.806,1456428.279,8733622.59,10190050.869,2211889.42,67524.036,978523.683,322641.63,57654.147,790708.197,27556.373,1835492.907,222741.862,413120.082,3495305.882,1637610.744,1849510.647,5307.187,942619.818,480831.633,2104320.836,1972973.087,339034.692,50607.85,17526561.257,19805974.713,34472017.388
경북,3466430.477,1661267.472,8526138.338,10187405.81,1927672.297,200765.735,614329.425,3377522.82,69724.196,353000.185,45727.665,3854518.681,212811.731,1159030.475,9723303.331,899716.58,797285.442,7635.383,813989.268,3974466.694,2361493.797,130964.578,63632.33,73340.53,28532493.111,30660931.143,44314767.43
광주,2038974.273,574010.413,3207391.387,3781401.8,74320.251,1779.943,167492.779,211956.653,6545.803,44079.075,19519.127,354176.483,30386.196,20058.226,58590.619,157938.996,182302.84,4851.907,230318.243,697747.244,478039.562,5835.842,20532.63,16448.505,2706820.73,2782920.924,8603296.997
대구,3252482.565,852759.598,5542821.675,6395581.273,71232.244,6673.298,223845.409,900119.516,16432.016,442955.453,44783.92,417854.548,91266.813,69989.964,285949.111,625335.863,493643.524,57693.704,197824.603,197754.123,1332038.232,49575.802,41574.29,50978.397,5539615.288,5617520.83,15265584.668
대전,1938645.551,1042760.495,4064476.625,5107237.12,32480.623,982.453,211245.411,36474.559,4060.421,530510.899,13303.506,628126.803,103224.908,55167.423,52522.357,61836.886,82908.354,2487.321,78919.721,231435.808,198962.445,7594.417,35667.614,1904.759,2336353.612,2369816.688,9415699.359
부산,4624741.633,1332991.141,7533667.287,8866658.428,110820.565,18191.225,555790.196,433741.903,44824.252,26481.235,28245.761,453473.47,79317.495,75860.663,2063188.98,837872.601,933350.676,182.69,119882.075,93634.044,1158949.182,222042.53,43164.237,11995.936,7181997.926,7311009.716,20802409.777
서울,13499067.204,3697299.544,28340647.316,32037946.86,15193.85,2067.141,227437.396,461352.795,3977.935,37618.247,270732.565,104383.522,60006.653,25067.531,13553.427,56011.694,138678.589,2700.875,9277.611,27802.832,18403.162,22955.335,129891.556,3079.542,1612931.267,1630192.258,47167206.322
세종,507707.655,329515.788,766781.843,1096297.631,81894.835,13779.431,112224.867,28412.056,1167.632,342584.228,3604.35,258827.215,34748.274,364585.644,28715.29,11126.368,29194.317,16345.635,28814.523,177269.263,81835.086,35.201,4427.739,2581.84,1526499.528,1622173.794,3226179.08
울산,1546257.103,479122.75,3576865.154,4055987.904,80392.274,13075.799,187021.333,840008.103,14526.641,601568.056,3553.373,17155335.195,21882.597,173067.067,4920341.775,426422.37,178413.274,4573.44,429728.23,29342.543,2411852.83,1038794.962,4803.582,2050.087,28443285.458,28536753.531,34138998.538
인천,4121502.906,947487.568,7627266.549,8574754.117,151959.039,46549.031,652575.849,58875.477,564366.909,52265.253,80143.898,1504146.382,2453867.253,170032.421,1999285.008,668529.654,891859.351,2755.825,159723.245,1027468.05,518576.86,53753.147,498933.508,28766.349,11385924.439,11584432.509,24280689.532
전남,2358629.944,1000292.893,6049218,7049510.893,3268517.227,73913.404,559594.075,182088.698,24494.631,98778.75,7910.245,12867964.466,50677.934,557349.986,4119767.193,130622.294,66078.385,585.107,251400.031,40087.586,71048.095,553848.13,17400.82,35119.981,19634816.407,22977247.038,32385387.875
전북,2397329.885,1117305.654,5036644.958,6153950.612,1537829.381,64056.229,1655365.061,626430.509,254559.098,1089049.611,8877.222,4055224.743,75205.714,621920.521,1966977.319,133047.319,154620.958,2015.143,142438.44,432135.804,758649.912,36571.041,15139.112,99298.904,12127526.431,13729412.041,22280692.538
제주,850988.594,323854.59,2471544.929,2795399.519,1468187.234,4308.577,162236.184,5262.894,1179.562,21281.472,2405.181,22097.936,7862.502,22813.106,959.939,2834.05,1305.559,0,843.995,9.931,801.273,476.503,1992.666,1037.944,255400.697,1727896.508,5374284.621
충남,2887131.576,1121458.295,7375367.757,8496826.052,2136303.469,172239.356,1312647.845,245162.525,126049.16,762585.439,50643.058,8772527.595,833582.96,869531.971,9919306.545,566636.706,652857.711,10219.305,888662.701,11431820.965,2353249.795,34173.08,102551.06,20144.68,38952353.101,41260895.926,52644853.554
충북,2179833.841,1315757.862,5005655.505,6321413.367,837036.744,123427.031,1250919.464,271869.464,48848.282,867216.169,28543.961,2671919.23,668885.816,2304281.766,449085.687,781564.878,382366.533,11751.24,1388142.515,4694981.367,628622.938,58590.455,722412.501,40589.474,17270591.74,18231055.515,26732302.723
합계,70455407.32,24458147.578,145815708.822,170273856.4,17304667.783,1492516.243,12232353.904,9935956.971,1734531.31,8054924.973,1365969.346,62370995.848,6502722.218,11724113.067,42000514.473,9230520.763,10478161.061,363022.901,6705741.747,51561489.56,17469301.915,4383966.059,4282537.644,575466.22,260972289.98,279769474.006,520498737.726
