"CODE","POPULATION"
"00",51377213
"11",9409466
"11110",140032
"11140",121482
"11170",216547
"11200",278750
"11215",336446
"11230",340333
"11260",383072
"11290",428122
"11305",290583
"11320",307968
"11350",499908
"11380",465977
"11410",307672
"11440",364573
"11470",437665
"11500",565195
"11530",394363
"11545",228858
"11560",375526
"11590",380478
"11620",485994
"11650",404616
"11680",540730
"11710",656176
"11740",458400
"26",3302740
"26110",39060
"26140",104304
"26170",88027
"26200",107103
"26230",357196
"26260",272176
"26290",255095
"26320",275670
"26350",382448
"26380",299844
"26410",217839
"26440",142890
"26470",202918
"26500",175455
"26530",203534
"26710",179181
"27",2378464
"27110",86210
"27140",341800
"27170",159255
"27200",140497
"27230",424831
"27260",407190
"27290",532496
"27710",263055
"27720",23130
"28",2985152
"28110",157127
"28114",0
"28118",0
"28140",59922
"28177",405633
"28185",389310
"28200",497181
"28237",488696
"28245",283422
"28260",614123
"28265",0
"28710",69265
"28720",20473
"29",1423810
"29110",106704
"29140",285843
"29155",210423
"29170",422881
"29200",397959
"30",1444837
"30110",218694
"30140",224439
"30170",467364
"30200",363731
"30230",170609
"31",1104448
"31110",205464
"31140",309139
"31170",152315
"31200",217533
"31710",219997
"36",385953
"36110",385953
"41",13624964
"41110",1195111
"41111",268547
"41113",368270
"41115",195442
"41117",362852
"41130",918077
"41131",230552
"41133",213015
"41135",474510
"41150",464778
"41170",545092
"41171",232609
"41173",312483
"41190",785432
"41210",280414
"41220",587611
"41222",0
"41224",0
"41250",89174
"41270",634284
"41271",338379
"41273",295905
"41280",1076655
"41281",496607
"41285",292300
"41287",287748
"41290",81306
"41310",187984
"41360",733002
"41362",0
"41370",229569
"41390",518182
"41410",263496
"41430",157499
"41450",329162
"41460",1077890
"41461",263923
"41463",435967
"41465",378000
"41480",496878
"41500",223677
"41550",189472
"41570",486029
"41590",934287
"41592",0
"41594",0
"41610",391986
"41630",262328
"41650",143974
"41670",114081
"41800",41711
"41820",61773
"41830",124050
"51",1531390
"51110",286935
"51130",361268
"51150",210122
"51170",88951
"51190",38752
"51210",82326
"51230",63086
"51720",67543
"51730",46500
"51750",37561
"51760",40693
"51770",34532
"51780",41554
"51790",23116
"51800",21255
"51810",32118
"51820",27315
"51830",27763
"43",1594337
"43110",851653
"43112",187160
"43114",191595
"43111",199909
"43113",272989
"43130",207998
"43150",130858
"43720",31168
"43730",49164
"43740",44436
"43745",37407
"43750",85754
"43760",36625
"43770",91546
"43800",27728
"44",2127077
"44270",169579
"44130",657839
"44131",257591
"44133",400248
"44150",102537
"44180",96334
"44200",339517
"44210",176125
"44230",111110
"44250",46109
"44710",50255
"44760",61414
"44770",49385
"44790",30117
"44800",97062
"44810",78744
"44825",60950
"45",1759815
"45110",644909
"45111",328772
"45113",316137
"45118",0
"45130",260675
"45140",270993
"45145",0
"45180",104088
"45190",77135
"45210",81711
"45710",96887
"45720",24601
"45730",23370
"45740",21084
"45750",26140
"45770",26760
"45790",51836
"45800",49626
"46",1808339
"46110",214580
"46130",272503
"46150",278807
"46170",117142
"46230",152007
"46710",45474
"46720",26964
"46730",24419
"46770",61353
"46780",37967
"46790",61506
"46800",35201
"46810",32897
"46820",65004
"46830",52466
"46840",90455
"46860",30682
"46870",52058
"46880",42665
"46890",46967
"46900",29096
"46910",38126
"47",2561623
"47110",493261
"47111",226685
"47113",266576
"47130",248335
"47150",138222
"47170",153436
"47190",406258
"47210",100196
"47230",100526
"47250",94254
"47280",69242
"47290",267144
"47730",50035
"47750",24088
"47760",15799
"47770",34263
"47820",41486
"47830",30123
"47840",42292
"47850",111258
"47900",55574
"47920",29921
"47930",46766
"47940",9144
"48",3258309
"48120",1012410
"48121",214560
"48123",246175
"48125",177926
"48127",181586
"48129",192163
"48170",342174
"48220",121103
"48240",108814
"48245",0
"48250",533054
"48252",0
"48270",102341
"48310",234467
"48330",354877
"48332",0
"48720",25672
"48730",60572
"48740",57499
"48820",49614
"48840",41012
"48850",41909
"48860",33959
"48870",37117
"48880",60184
"48890",41531
"50",676489
"50110",492379
"50130",184110
